G1 Model,G2 Equivalent,Family,Stage,Standard Source,kW,HP,Connection,Stages,B1 mm,B2 mm,Height mm,D1 mm,D2 mm,Weight kg
CHC 1-1,CHC 1-10,1,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,124,23
CHC 1-2,CHC 1-20,1,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,124,23
CHC 1-3,CHC 1-30,1,3,True,0.37,0.5,DN32 (G1¼),3,280,205,485,133,124,23
CHC 1-4,CHC 1-40,1,4,True,0.37,0.5,DN32 (G1¼),4,298,205,503,133,124,23
CHC 1-5,CHC 1-50,1,5,True,0.37,0.5,DN32 (G1¼),5,316,205,521,133,124,24
CHC 1-6,CHC 1-60,1,6,True,0.37,0.5,DN32 (G1¼),6,334,205,539,133,124,24
CHC 1-7,CHC 1-70,1,7,True,0.37,0.5,DN32 (G1¼),7,352,205,557,133,124,25
CHC 1-8,CHC 1-80,1,8,True,0.55,0.75,DN32 (G1¼),8,370,205,575,133,124,25
CHC 1-9,CHC 1-90,1,9,True,0.55,0.75,DN32 (G1¼),9,388,205,593,133,124,26
CHC 1-10,CHC 1-100,1,10,True,0.55,0.75,DN32 (G1¼),10,406,205,611,133,124,26
CHC 1-11,CHC 1-110,1,11,True,0.55,0.75,DN32 (G1¼),11,424,205,629,133,124,27
CHC 1-12,CHC 1-120,1,12,True,0.75,1,DN32 (G1¼),12,442,205,647,133,124,28
CHC 1-13,CHC 1-130,1,13,True,0.75,1,DN32 (G1¼),13,460,205,665,133,124,29
CHC 1-14,CHC 1-140,1,14,False,0.75,1,DN32 (G1¼),14,496,205,701,133,124,30
CHC 1-15,CHC 1-150,1,15,True,0.75,1,DN32 (G1¼),15,496,205,701,133,124,30
CHC 1-16,CHC 1-160,1,16,False,1.1,1.5,DN32 (G1¼),16,538,241,779,154,133,32
CHC 1-17,CHC 1-170,1,17,True,1.1,1.5,DN32 (G1¼),17,538,241,779,154,133,32
CHC 1-18,CHC 1-180,1,18,False,1.1,1.5,DN32 (G1¼),18,574,241,815,154,133,33
CHC 1-19,CHC 1-190,1,19,True,1.1,1.5,DN32 (G1¼),19,574,241,815,154,133,33
CHC 1-20,CHC 1-200,1,20,False,1.1,1.5,DN32 (G1¼),20,610,241,851,154,133,34
CHC 1-21,CHC 1-210,1,21,True,1.1,1.5,DN32 (G1¼),21,610,241,851,154,133,34
CHC 1-22,CHC 1-220,1,22,False,1.1,1.5,DN32 (G1¼),22,646,241,887,154,133,36
CHC 1-23,CHC 1-230,1,23,True,1.1,1.5,DN32 (G1¼),23,646,241,887,154,133,36
CHC 1-24,CHC 1-240,1,24,False,1.5,2,DN32,24,690,293,983,177,145,43
CHC 1-25,CHC 1-250,1,25,True,1.5,2,DN32,25,690,293,983,177,145,43
CHC 1-26,CHC 1-260,1,26,False,1.5,2,DN32,26,726,293,1019,177,145,44
CHC 1-27,CHC 1-270,1,27,True,1.5,2,DN32,27,726,293,1019,177,145,44
CHC 1-28,CHC 1-280,1,28,False,1.5,2,DN32,28,780,293,1073,177,145,46
CHC 1-29,CHC 1-290,1,29,False,1.5,2,DN32,29,780,293,1073,177,145,46
CHC 1-30,CHC 1-300,1,30,True,1.5,2,DN32,30,780,293,1073,177,145,46
CHC 1-31,CHC 1-310,1,31,False,2.2,3,DN32,31,834,293,1127,177,145,49
CHC 1-32,CHC 1-320,1,32,False,2.2,3,DN32,32,834,293,1127,177,145,49
CHC 1-33,CHC 1-330,1,33,True,2.2,3,DN32,33,834,293,1127,177,145,49
CHC 1-34,CHC 1-340,1,34,False,2.2,3,DN32,34,888,293,1181,177,145,50
CHC 1-35,CHC 1-350,1,35,False,2.2,3,DN32,35,888,293,1181,177,145,50
CHC 1-36,CHC 1-360,1,36,True,2.2,3,DN32,36,888,293,1181,177,145,50
CHC 2-1,CHC 2-10,2,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,102,22
CHC 2-2,CHC 2-20,2,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,102,22
CHC 2-3,CHC 2-30,2,3,True,0.37,0.5,DN32 (G1¼),3,280,205,485,133,102,22
CHC 2-4,CHC 2-40,2,4,True,0.55,0.75,DN32 (G1¼),4,298,205,503,133,102,25
CHC 2-5,CHC 2-50,2,5,True,0.55,0.75,DN32 (G1¼),5,316,205,521,133,102,25
CHC 2-6,CHC 2-60,2,6,True,0.75,1,DN32 (G1¼),6,334,205,539,133,102,27
CHC 2-7,CHC 2-70,2,7,True,0.75,1,DN32 (G1¼),7,352,205,557,133,102,27
CHC 2-8,CHC 2-80,2,8,False,1.1,1.5,DN32 (G1¼),8,394,205,599,154,111,29
CHC 2-9,CHC 2-90,2,9,True,1.1,1.5,DN32 (G1¼),9,394,241,635,154,111,29
CHC 2-10,CHC 2-100,2,10,False,1.1,1.5,DN32 (G1¼),10,430,241,671,154,111,29
CHC 2-11,CHC 2-110,2,11,True,1.1,1.5,DN32 (G1¼),11,430,241,671,154,111,29
CHC 2-12,CHC 2-120,2,12,False,1.5,2,DN32 (G1¼),12,466,241,707,154,111,32
CHC 2-13,CHC 2-130,2,13,True,1.5,2,DN32 (G1¼),13,466,293,759,154,111,32
CHC 2-14,CHC 2-140,2,14,False,1.5,2,DN32,14,502,293,795,154,111,32
CHC 2-15,CHC 2-150,2,15,True,1.5,2,DN32,15,502,293,795,154,111,32
CHC 2-16,CHC 2-160,2,16,False,2.2,3,DN32,16,558,293,851,177,116,38
CHC 2-17,CHC 2-170,2,17,False,2.2,3,DN32,17,558,293,851,177,116,38
CHC 2-18,CHC 2-180,2,18,True,2.2,3,DN32,18,558,293,851,177,116,38
CHC 2-19,CHC 2-190,2,19,False,2.2,3,DN32,19,630,293,923,177,116,43
CHC 2-20,CHC 2-200,2,20,False,2.2,3,DN32,20,630,293,923,177,116,43
CHC 2-21,CHC 2-210,2,21,False,2.2,3,DN32,21,630,293,923,177,116,43
CHC 2-22,CHC 2-220,2,22,True,2.2,3,DN32,22,630,293,923,177,116,43
CHC 2-23,CHC 2-230,2,23,False,3,4,DN32,23,702,293,995,177,116,48
CHC 2-24,CHC 2-240,2,24,False,3,4,DN32,24,702,293,995,177,116,48
CHC 2-25,CHC 2-250,2,25,False,3,4,DN32,25,702,293,995,177,116,48
CHC 2-26,CHC 2-260,2,26,True,3,4,DN32,26,702,293,995,177,116,48
CHC 3-1,CHC 3-10,3,1,False,0.37,0.5,DN32 (G1¼),1,262,205,467,133,102,23
CHC 3-2,CHC 3-20,3,2,True,0.37,0.5,DN32 (G1¼),2,262,205,467,133,102,23
CHC 3-3,CHC 3-30,3,3,True,0.37,0.5,DN32 (G1¼),3,280,205,485,133,102,23
CHC 3-4,CHC 3-40,3,4,True,0.37,0.5,DN32 (G1¼),4,298,205,503,133,102,24
CHC 3-5,CHC 3-50,3,5,True,0.37,0.5,DN32 (G1¼),5,316,205,521,133,102,24
