Variant,Family,Length mm,Width mm,Source Group
CHC,1,250,210,"CHC 1, CHC 2, CHC 3, CHC 4, CHC 5"
CHCS,1,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHCN,1,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHC,2,250,210,"CHC 1, CHC 2, CHC 3, CHC 4, CHC 5"
CHCS,2,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHCN,2,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHC,3,250,210,"CHC 1, CHC 2, CHC 3, CHC 4, CHC 5"
CHCS,3,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHCN,3,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHC,4,250,210,"CHC 1, CHC 2, CHC 3, CHC 4, CHC 5"
CHCS,4,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHCN,4,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHC,5,250,210,"CHC 1, CHC 2, CHC 3, CHC 4, CHC 5"
CHCS,5,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHCN,5,250,210,"CHCS 1, CHCS 2, CHCS 3, CHCS 4, CHCS 5, CHCN 1, CHCN 2, CHCN 3, CHCN 4, CHCN 5"
CHC,8,280,256,"CHC 8, CHC 10"
CHCS,8,280,248,"CHCS 8, CHCS 10, CHCN 8, CHCN 10"
CHCN,8,280,248,"CHCS 8, CHCS 10, CHCN 8, CHCN 10"
CHC,10,280,256,"CHC 8, CHC 10"
CHCS,10,280,248,"CHCS 8, CHCS 10, CHCN 8, CHCN 10"
CHCN,10,280,248,"CHCS 8, CHCS 10, CHCN 8, CHCN 10"
CHC,12,300,247,"CHC 12, CHCS 12, CHCN 12"
CHCS,12,300,247,"CHC 12, CHCS 12, CHCN 12"
CHCN,12,300,247,"CHC 12, CHCS 12, CHCN 12"
CHC,15,300,256,"CHC 15, CHC 16, CHC 20"
CHCS,15,300,248,"CHCS 15, CHCS 16, CHCS 20, CHCN 15, CHCN 16, CHCN 20"
CHCN,15,300,248,"CHCS 15, CHCS 16, CHCS 20, CHCN 15, CHCN 16, CHCN 20"
CHC,16,300,256,"CHC 15, CHC 16, CHC 20"
CHCS,16,300,248,"CHCS 15, CHCS 16, CHCS 20, CHCN 15, CHCN 16, CHCN 20"
CHCN,16,300,248,"CHCS 15, CHCS 16, CHCS 20, CHCN 15, CHCN 16, CHCN 20"
CHC,20,300,256,"CHC 15, CHC 16, CHC 20"
CHCS,20,300,248,"CHCS 15, CHCS 16, CHCS 20, CHCN 15, CHCN 16, CHCN 20"
CHCN,20,300,248,"CHCS 15, CHCS 16, CHCS 20, CHCN 15, CHCN 16, CHCN 20"
CHC,32,320,298,"CHC 32, CHCS 32, CHCN 32"
CHCS,32,320,298,"CHC 32, CHCS 32, CHCN 32"
CHCN,32,320,298,"CHC 32, CHCS 32, CHCN 32"
CHC,45,365,331,"CHC 45, CHCS 45, CHCN 45"
CHCS,45,365,331,"CHC 45, CHCS 45, CHCN 45"
CHCN,45,365,331,"CHC 45, CHCS 45, CHCN 45"
CHC,64,365,331,"CHC 64, CHCS 64, CHCN 64"
CHCS,64,365,331,"CHC 64, CHCS 64, CHCN 64"
CHCN,64,365,331,"CHC 64, CHCS 64, CHCN 64"
CHC,90,365,331,"CHC 90, CHCS 90, CHCN 90"
CHCS,90,365,331,"CHC 90, CHCS 90, CHCN 90"
CHCN,90,365,331,"CHC 90, CHCS 90, CHCN 90"
CHC,120,380,472,"CHC 120, CHCS 120, CHCN 120, CHC 150, CHCS 150, CHCN 150"
CHCS,120,380,472,"CHC 120, CHCS 120, CHCN 120, CHC 150, CHCS 150, CHCN 150"
CHCN,120,380,472,"CHC 120, CHCS 120, CHCN 120, CHC 150, CHCS 150, CHCN 150"
CHC,150,380,472,"CHC 120, CHCS 120, CHCN 120, CHC 150, CHCS 150, CHCN 150"
CHCS,150,380,472,"CHC 120, CHCS 120, CHCN 120, CHC 150, CHCS 150, CHCN 150"
CHCN,150,380,472,"CHC 120, CHCS 120, CHCN 120, CHC 150, CHCS 150, CHCN 150"
CHC,200,490,600,"CHC 200, CHCS 200, CHCN 200"
CHCS,200,490,600,"CHC 200, CHCS 200, CHCN 200"
CHCN,200,490,600,"CHC 200, CHCS 200, CHCN 200"
